ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2020,1,Erzincan Binali Yıldırım Üniversitesi,19,BÜYÜKÇEKMECE,1
2019,1,Tokat Gaziosmanpaşa,21,BAKIRKÖY,1
2020,1,Manisa Celâl Bayar Üniversitesi,23,KAĞITHANE,1
2020,1,Karadeniz Teknik Üniversitesi,22,KADIKÖY,1
2019,2,Sinop Üniversitesi,20,BAŞAKŞEHİR,1
2020,1,Ankara Üniversitesi,21,BAHÇELİEVLER,1
2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,26,BEŞİKTAŞ,1
2020,1,Akdeniz Üniversitesi,21,SANCAKTEPE,4
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,KÜÇÜKÇEKMECE,4
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,24,ŞİŞLİ,2
2020,1,Balıkesir Üniversitesi,20,GAZİOSMANPAŞA,1
2020,1,Beykent Üniversitesi,23,BAŞAKŞEHİR,1
2019,1,Afyon Kocatepe Üniversitesi,24,SARIYER,1
2020,1,Bayburt Üniversitesi,19,ESENYURT,2
2020,1,Balıkesir Üniversitesi,23,ZEYTİNBURNU,1
2019,2,Atatürk Üniversitesi,19,PENDİK,1
2019,2,Bartın Üniversitesi,20,SANCAKTEPE,1
2020,1,Karabük Üniversitesi,21,ÇEKMEKÖY,5
2019,2,Maltepe Üniversitesi,19,ÇEKMEKÖY,1
2019,1,İstanbul Kültür Üniversitesi,19,BAHÇELİEVLER,1
2019,1,Beykoz Üniversitesi,21,MALTEPE,2
2019,1,İstanbul Teknik Üniversitesi,25,KAĞITHANE,1
2019,1,Yıldız Teknik Üniversitesi,21,BEYKOZ,1
2019,1,Bursa Uludağ Üniversitesi,22,ARNAVUTKÖY,1
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,BEYOĞLU,1
2020,1,Tekirdağ Namık Kemal,22,FATİH,6
2020,1,Hatay Mustafa Kemal Üniversitesi,23,MALTEPE,1
2020,1,İstanbul Aydın Üniversitesi,21,BAHÇELİEVLER,4
2019,1,Akdeniz Üniversitesi,21,TUZLA,2
2019,2,Bursa Uludağ Üniversitesi,23,ÜMRANİYE,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,18,KARTAL,1
2020,1,Fırat Üniversitesi,23,SANCAKTEPE,2
2020,1,Erciyes Üniversitesi,20,TUZLA,2
2019,2,Bayburt Üniversitesi,22,ÜSKÜDAR,1
2019,2,Bursa Teknik Üniversitesi,21,ARNAVUTKÖY,1
2019,2,İstanbul Aydın Üniversitesi,24,ESENYURT,1
2020,1,Artvin Çoruh Üniversitesi,19,SULTANBEYLİ,2
2019,1,Atatürk Üniversitesi,24,ESENYURT,1
2020,1,İstanbul Sabahattin Zaim Üniversitesi,19,BÜYÜKÇEKMECE,1
2019,1,Yıldız Teknik Üniversitesi,22,SİLİVRİ,2
2020,1,Ege Üniversitesi,21,ÜMRANİYE,1
2020,1,Karadeniz Teknik Üniversitesi,21,GAZİOSMANPAŞA,1
2020,1,Ege Üniversitesi,23,SİLİVRİ,3
2019,1,Eskişehir Osmangazi Üniversitesi,23,KAĞITHANE,1
2019,1,Sakarya Üniversitesi,21,ÇEKMEKÖY,3
2019,1,Süleyman Demirel Üniversitesi,21,KAĞITHANE,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,19,KÜÇÜKÇEKMECE,4
2019,1,Bursa Uludağ Üniversitesi,24,SULTANGAZİ,1
2020,1,Eskişehir Osmangazi Üniversitesi,20,SULTANBEYLİ,4
2020,1,Kastamonu Üniversitesi,19,SULTANBEYLİ,1
2019,2,Anadolu Üniversitesi,20,SULTANBEYLİ,1
2019,1,Işık Üniversitesi,21,SANCAKTEPE,1
2020,1,İstanbul Aydın Üniversitesi,20,ŞİŞLİ,2
2020,1,İstanbul Üniversitesi-Cerrahpaşa,25,KADIKÖY,1
2019,1,İstinye Üniversitesi,23,SARIYER,1
2020,1,Bursa Uludağ Üniversitesi,20,SANCAKTEPE,6
2019,2,Atatürk Üniversitesi,21,BÜYÜKÇEKMECE,1
2020,1,İstanbul Üniversitesi-Cerrahpaşa,22,BEYLİKDÜZÜ,9
2019,1,İstanbul Gelişim Üniversitesi,26,ATAŞEHİR,1
2019,2,İstanbul Arel Üniversitesi,21,ZEYTİNBURNU,2
2019,1,İstanbul Teknik Üniversitesi,21,ÜMRANİYE,1
2020,1,Manisa Celâl Bayar Üniversitesi,20,BAĞCILAR,2
2020,1,Adıyaman Üniversitesi,19,ESENYURT,1
2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,19,BAHÇELİEVLER,2
2020,1,Düzce Üniversitesi,19,KÜÇÜKÇEKMECE,4
2020,1,Trakya Üniversitesi,25,EYÜPSULTAN,1
2020,1,Hacettepe Üniversitesi,19,ÇATALCA,1
2019,2,Bolu Abant İzzet Baysal Üniversitesi,23,AVCILAR,1
2020,1,Balıkesir Üniversitesi,22,SANCAKTEPE,1
2019,1,Aksaray Üniversitesi,21,SULTANBEYLİ,1
2019,2,Zonguldak Bülent Ecevit Üniversitesi,25,BÜYÜKÇEKMECE,1
2020,1,Anadolu Üniversitesi,20,EYÜPSULTAN,1
2019,1,Bolu Abant İzzet Baysal Üniversitesi,22,SANCAKTEPE,2
2020,1,Uşak Üniversitesi,19,GAZİOSMANPAŞA,1
2020,1,Kırklareli Üniversitesi,25,AVCILAR,1
2020,1,Sivas Cumhuriyet Üniversitesi,21,BAĞCILAR,2
2020,1,Gebze Teknik Üniversitesi,20,SİLİVRİ,1
2020,1,Pamukkale Üniversitesi,20,ÇEKMEKÖY,2
2019,1,Tekirdağ Namık Kemal,23,GAZİOSMANPAŞA,1
2019,2,İstanbul Üniversitesi,20,GAZİOSMANPAŞA,7
2020,1,İstanbul Bilgi Üniversitesi,22,FATİH,3
2019,2,Balıkesir Üniversitesi,22,SULTANBEYLİ,2
2019,1,Sakarya Üniversitesi,23,ZEYTİNBURNU,1
2019,1,Zonguldak Bülent Ecevit Üniversitesi,22,KADIKÖY,1
2020,1,Marmara Üniversitesi,20,SULTANBEYLİ,19
2020,1,Karabük Üniversitesi,20,BAYRAMPAŞA,1
2019,1,Siirt Üniversitesi,20,SULTANGAZİ,1
2020,1,Düzce Üniversitesi,22,GAZİOSMANPAŞA,4
2019,2,Eskişehir Teknik Üniversitesi,23,ARNAVUTKÖY,1
2020,1,Sakarya Üniversitesi,20,BEYOĞLU,1
2020,1,Aydın Adnan Menderes,21,ÜSKÜDAR,2
